season,week,game_id,team,opponent,is_home,plays,rush_att,pass_plays,run_share,points_for,points_against,margin,mean_score_diff
2024,8,2024_08_PHI_CIN,CIN,PHI,1,57,19,38,0.3333,17,37,-20,-2.649
2024,8,2024_08_PHI_CIN,PHI,CIN,0,59,39,20,0.661,37,17,20,0.508
2024,8,2024_08_TEN_DET,DET,TEN,1,47,24,23,0.5106,52,14,38,19.149
2024,8,2024_08_TEN_DET,TEN,DET,0,71,32,39,0.4507,14,52,-38,-22.606
2024,9,2024_09_CHI_ARI,ARI,CHI,1,57,34,23,0.5965,29,9,20,8.053
2024,9,2024_09_CHI_ARI,CHI,ARI,0,69,22,47,0.3188,9,29,-20,-10.435
2024,9,2024_09_DAL_ATL,ATL,DAL,1,54,27,27,0.5,27,21,6,5.389
2024,9,2024_09_DAL_ATL,DAL,ATL,0,74,21,53,0.2838,21,27,-6,-9.5
2024,9,2024_09_DEN_BAL,BAL,DEN,1,53,33,20,0.6226,41,10,31,13.094
2024,9,2024_09_DEN_BAL,DEN,BAL,0,67,29,38,0.4328,10,41,-31,-15.313
2024,9,2024_09_DET_GB,DET,GB,0,52,29,23,0.5577,24,14,10,7.962
2024,9,2024_09_DET_GB,GB,DET,1,63,23,40,0.3651,14,24,-10,-11.556
2024,9,2024_09_HOU_NYJ,HOU,NYJ,0,74,35,39,0.473,13,21,-8,-2.108
2024,9,2024_09_HOU_NYJ,NYJ,HOU,1,54,20,34,0.3704,21,13,8,-2.407
2024,9,2024_09_IND_MIN,IND,MIN,0,48,18,30,0.375,13,21,-8,-2.333
2024,9,2024_09_IND_MIN,MIN,IND,1,70,31,39,0.4429,21,13,8,-1.5
2024,9,2024_09_JAX_PHI,JAX,PHI,0,52,17,35,0.3269,23,28,-5,-11.615
2024,9,2024_09_JAX_PHI,PHI,JAX,1,73,45,28,0.6164,28,23,5,7.836
2024,9,2024_09_LAC_CLE,CLE,LAC,1,76,24,52,0.3158,10,27,-17,-14.605
2024,9,2024_09_LAC_CLE,LAC,CLE,0,54,21,33,0.3889,27,10,17,11.37
2024,9,2024_09_LA_SEA,LA,SEA,0,68,24,44,0.3529,26,20,6,-1.309
2024,9,2024_09_LA_SEA,SEA,LA,1,73,32,41,0.4384,20,26,-6,-1.945
2024,9,2024_09_LV_CIN,CIN,LV,1,69,29,40,0.4203,41,24,17,7.406
2024,9,2024_09_LV_CIN,LV,CIN,0,59,21,38,0.3559,24,41,-17,-10.576
2024,9,2024_09_MIA_BUF,BUF,MIA,1,59,19,40,0.322,30,27,3,-2.0
2024,9,2024_09_MIA_BUF,MIA,BUF,0,59,30,29,0.5085,27,30,-3,-2.898
2024,9,2024_09_NE_TEN,NE,TEN,0,64,20,44,0.3125,17,20,-3,-5.078
2024,9,2024_09_NE_TEN,TEN,NE,1,73,39,34,0.5342,20,17,3,1.767
2024,9,2024_09_NO_CAR,CAR,NO,1,49,21,28,0.4286,23,22,1,-4.347
2024,9,2024_09_NO_CAR,NO,CAR,0,75,41,34,0.5467,22,23,-1,0.733
2024,9,2024_09_TB_KC,KC,TB,1,83,35,48,0.4217,30,24,6,-1.108
2024,9,2024_09_TB_KC,TB,KC,0,52,19,33,0.3654,24,30,-6,-2.596
2024,9,2024_09_WAS_NYG,NYG,WAS,1,61,31,30,0.5082,22,27,-5,-9.311
2024,9,2024_09_WAS_NYG,WAS,NYG,0,57,35,22,0.614,27,22,5,5.877
2024,10,2024_10_ATL_NO,ATL,NO,0,73,32,41,0.4384,17,20,-3,-5.986
2024,10,2024_10_ATL_NO,NO,ATL,1,51,26,25,0.5098,20,17,3,2.451
2024,10,2024_10_BUF_IND,BUF,IND,0,69,30,39,0.4348,30,20,10,5.594
2024,10,2024_10_BUF_IND,IND,BUF,1,61,22,39,0.3607,20,30,-10,-8.311
2024,10,2024_10_CIN_BAL,BAL,CIN,1,58,25,33,0.431,35,34,1,-5.345
