season,game_id,team,state,plays,rush_att
2022,2022_14_NYJ_BUF,NYJ,down 1-8,21,6
2022,2022_14_NYJ_BUF,NYJ,tied,28,12
2022,2022_14_PHI_NYG,NYG,down 9+,55,21
2022,2022_14_PHI_NYG,NYG,down 1-8,4,2
2022,2022_14_PHI_NYG,NYG,tied,5,1
2022,2022_14_PHI_NYG,PHI,tied,14,4
2022,2022_14_PHI_NYG,PHI,up 1-8,12,2
2022,2022_14_PHI_NYG,PHI,up 9+,39,24
2022,2022_14_TB_SF,SF,tied,5,2
2022,2022_14_TB_SF,SF,up 1-8,11,7
2022,2022_14_TB_SF,SF,up 9+,42,26
2022,2022_14_TB_SF,TB,down 9+,61,13
2022,2022_14_TB_SF,TB,down 1-8,12,5
2022,2022_15_ARI_DEN,ARI,down 9+,11,3
2022,2022_15_ARI_DEN,ARI,down 1-8,27,9
2022,2022_15_ARI_DEN,ARI,tied,12,3
2022,2022_15_ARI_DEN,ARI,up 1-8,10,5
2022,2022_15_ARI_DEN,DEN,down 1-8,7,4
2022,2022_15_ARI_DEN,DEN,tied,23,7
2022,2022_15_ARI_DEN,DEN,up 1-8,27,14
2022,2022_15_ARI_DEN,DEN,up 9+,8,7
2022,2022_15_ATL_NO,ATL,down 9+,55,33
2022,2022_15_ATL_NO,ATL,down 1-8,15,7
2022,2022_15_ATL_NO,NO,tied,10,4
2022,2022_15_ATL_NO,NO,up 1-8,23,16
2022,2022_15_ATL_NO,NO,up 9+,21,13
2022,2022_15_BAL_CLE,BAL,down 9+,16,2
2022,2022_15_BAL_CLE,BAL,down 1-8,35,19
2022,2022_15_BAL_CLE,BAL,tied,10,7
2022,2022_15_BAL_CLE,CLE,tied,26,9
2022,2022_15_BAL_CLE,CLE,up 1-8,15,5
2022,2022_15_BAL_CLE,CLE,up 9+,20,16
2022,2022_15_CIN_TB,CIN,down 9+,22,6
2022,2022_15_CIN_TB,CIN,down 1-8,9,3
2022,2022_15_CIN_TB,CIN,tied,5,1
2022,2022_15_CIN_TB,CIN,up 1-8,9,2
2022,2022_15_CIN_TB,CIN,up 9+,16,7
2022,2022_15_CIN_TB,TB,down 9+,16,2
2022,2022_15_CIN_TB,TB,down 1-8,3,2
2022,2022_15_CIN_TB,TB,tied,12,6
2022,2022_15_CIN_TB,TB,up 1-8,14,4
2022,2022_15_CIN_TB,TB,up 9+,26,11
2022,2022_15_DAL_JAX,DAL,down 1-8,13,8
2022,2022_15_DAL_JAX,DAL,tied,18,12
2022,2022_15_DAL_JAX,DAL,up 1-8,27,16
2022,2022_15_DAL_JAX,DAL,up 9+,16,5
2022,2022_15_DAL_JAX,JAX,down 9+,37,15
2022,2022_15_DAL_JAX,JAX,down 1-8,23,7
2022,2022_15_DAL_JAX,JAX,tied,10,5
2022,2022_15_DET_NYJ,DET,down 1-8,7,2
2022,2022_15_DET_NYJ,DET,tied,31,16
2022,2022_15_DET_NYJ,DET,up 1-8,28,10
2022,2022_15_DET_NYJ,NYJ,down 1-8,54,20
2022,2022_15_DET_NYJ,NYJ,tied,7,2
2022,2022_15_IND_MIN,IND,tied,21,8
2022,2022_15_IND_MIN,IND,up 1-8,9,8
2022,2022_15_IND_MIN,IND,up 9+,48,26
2022,2022_15_IND_MIN,MIN,down 9+,58,19
2022,2022_15_IND_MIN,MIN,down 1-8,12,1
2022,2022_15_IND_MIN,MIN,tied,16,3
2022,2022_15_KC_HOU,HOU,down 1-8,24,9
2022,2022_15_KC_HOU,HOU,tied,27,12
2022,2022_15_KC_HOU,HOU,up 1-8,5,5
2022,2022_15_KC_HOU,KC,down 1-8,41,19
2022,2022_15_KC_HOU,KC,tied,29,12
2022,2022_15_KC_HOU,KC,up 1-8,7,2
2022,2022_15_LA_GB,GB,tied,22,10
2022,2022_15_LA_GB,GB,up 1-8,19,8
2022,2022_15_LA_GB,GB,up 9+,24,14
2022,2022_15_LA_GB,LA,down 9+,16,7
2022,2022_15_LA_GB,LA,down 1-8,20,6
2022,2022_15_LA_GB,LA,tied,7,4
2022,2022_15_MIA_BUF,BUF,down 1-8,18,8
2022,2022_15_MIA_BUF,BUF,tied,18,8
2022,2022_15_MIA_BUF,BUF,up 1-8,35,13
2022,2022_15_MIA_BUF,MIA,down 1-8,29,13
2022,2022_15_MIA_BUF,MIA,tied,22,9
2022,2022_15_MIA_BUF,MIA,up 1-8,7,3
2022,2022_15_NE_LV,LV,down 1-8,12,0
2022,2022_15_NE_LV,LV,tied,22,11
2022,2022_15_NE_LV,LV,up 1-8,28,11
2022,2022_15_NE_LV,LV,up 9+,2,1
2022,2022_15_NE_LV,NE,down 9+,6,4
2022,2022_15_NE_LV,NE,down 1-8,47,22
2022,2022_15_NE_LV,NE,tied,6,2
2022,2022_15_NE_LV,NE,up 1-8,4,3
2022,2022_15_NYG_WAS,NYG,down 1-8,5,3
2022,2022_15_NYG_WAS,NYG,tied,3,1
2022,2022_15_NYG_WAS,NYG,up 1-8,46,22
2022,2022_15_NYG_WAS,NYG,up 9+,5,1
2022,2022_15_NYG_WAS,WAS,down 9+,11,1
2022,2022_15_NYG_WAS,WAS,down 1-8,27,13
2022,2022_15_NYG_WAS,WAS,tied,18,11
2022,2022_15_NYG_WAS,WAS,up 1-8,2,1
2022,2022_15_PHI_CHI,CHI,down 9+,12,5
2022,2022_15_PHI_CHI,CHI,down 1-8,19,11
2022,2022_15_PHI_CHI,CHI,tied,21,11
2022,2022_15_PHI_CHI,CHI,up 1-8,5,2
2022,2022_15_PHI_CHI,PHI,down 1-8,12,7
2022,2022_15_PHI_CHI,PHI,tied,15,4
2022,2022_15_PHI_CHI,PHI,up 1-8,41,20
2022,2022_15_PHI_CHI,PHI,up 9+,2,1
2022,2022_15_PIT_CAR,CAR,down 9+,19,6
2022,2022_15_PIT_CAR,CAR,down 1-8,20,8
2022,2022_15_PIT_CAR,CAR,tied,3,2
2022,2022_15_PIT_CAR,PIT,tied,22,16
2022,2022_15_PIT_CAR,PIT,up 1-8,42,27
2022,2022_15_PIT_CAR,PIT,up 9+,3,1
2022,2022_15_SF_SEA,SEA,down 9+,32,6
2022,2022_15_SF_SEA,SEA,down 1-8,21,6
2022,2022_15_SF_SEA,SEA,tied,8,2
2022,2022_15_SF_SEA,SF,tied,12,6
2022,2022_15_SF_SEA,SF,up 1-8,23,13
2022,2022_15_SF_SEA,SF,up 9+,23,12
2022,2022_15_TEN_LAC,LAC,tied,57,20
2022,2022_15_TEN_LAC,LAC,up 1-8,10,4
2022,2022_15_TEN_LAC,TEN,down 1-8,33,17
2022,2022_15_TEN_LAC,TEN,tied,23,9
2022,2022_16_ATL_BAL,ATL,down 9+,47,24
2022,2022_16_ATL_BAL,ATL,down 1-8,18,7
2022,2022_16_ATL_BAL,ATL,tied,3,2
2022,2022_16_ATL_BAL,BAL,tied,8,4
2022,2022_16_ATL_BAL,BAL,up 1-8,36,25
2022,2022_16_ATL_BAL,BAL,up 9+,5,3
2022,2022_16_BUF_CHI,BUF,down 1-8,31,14
2022,2022_16_BUF_CHI,BUF,up 1-8,15,10
2022,2022_16_BUF_CHI,BUF,up 9+,13,7
2022,2022_16_BUF_CHI,CHI,down 9+,22,8
2022,2022_16_BUF_CHI,CHI,down 1-8,7,5
2022,2022_16_BUF_CHI,CHI,tied,8,5
2022,2022_16_BUF_CHI,CHI,up 1-8,21,11
2022,2022_16_CIN_NE,CIN,tied,5,1
2022,2022_16_CIN_NE,CIN,up 1-8,17,8
2022,2022_16_CIN_NE,CIN,up 9+,56,15
2022,2022_16_CIN_NE,NE,down 9+,39,8
2022,2022_16_CIN_NE,NE,down 1-8,13,7
2022,2022_16_DEN_LA,DEN,down 9+,59,20
2022,2022_16_DEN_LA,DEN,down 1-8,3,1
2022,2022_16_DEN_LA,LA,tied,10,7
2022,2022_16_DEN_LA,LA,up 1-8,3,1
2022,2022_16_DEN_LA,LA,up 9+,50,27
2022,2022_16_DET_CAR,CAR,tied,17,12
2022,2022_16_DET_CAR,CAR,up 1-8,11,8
2022,2022_16_DET_CAR,CAR,up 9+,36,22
2022,2022_16_DET_CAR,DET,down 9+,38,7
2022,2022_16_DET_CAR,DET,down 1-8,11,3
2022,2022_16_DET_CAR,DET,tied,13,8
2022,2022_16_GB_MIA,GB,down 9+,10,1
2022,2022_16_GB_MIA,GB,down 1-8,28,12
2022,2022_16_GB_MIA,GB,tied,16,3
2022,2022_16_GB_MIA,GB,up 1-8,8,6
2022,2022_16_GB_MIA,MIA,down 1-8,11,4
2022,2022_16_GB_MIA,MIA,tied,26,12
2022,2022_16_GB_MIA,MIA,up 1-8,6,1
2022,2022_16_GB_MIA,MIA,up 9+,2,1
2022,2022_16_HOU_TEN,HOU,down 1-8,34,15
2022,2022_16_HOU_TEN,HOU,tied,15,7
2022,2022_16_HOU_TEN,HOU,up 1-8,14,7
2022,2022_16_HOU_TEN,TEN,down 1-8,32,17
2022,2022_16_HOU_TEN,TEN,tied,11,6
2022,2022_16_HOU_TEN,TEN,up 1-8,15,8
2022,2022_16_JAX_NYJ,JAX,down 1-8,9,5
2022,2022_16_JAX_NYJ,JAX,tied,19,14
2022,2022_16_JAX_NYJ,JAX,up 1-8,7,4
2022,2022_16_JAX_NYJ,JAX,up 9+,33,13
2022,2022_16_JAX_NYJ,NYJ,down 9+,42,15
2022,2022_16_JAX_NYJ,NYJ,down 1-8,5,1
2022,2022_16_JAX_NYJ,NYJ,tied,9,4
2022,2022_16_LAC_IND,IND,down 9+,21,5
2022,2022_16_LAC_IND,IND,down 1-8,10,4
2022,2022_16_LAC_IND,IND,tied,19,5
2022,2022_16_LAC_IND,LAC,tied,22,8
2022,2022_16_LAC_IND,LAC,up 1-8,24,8
2022,2022_16_LAC_IND,LAC,up 9+,18,13
2022,2022_16_LV_PIT,LV,down 1-8,2,0
2022,2022_16_LV_PIT,LV,tied,14,8
2022,2022_16_LV_PIT,LV,up 1-8,36,11
2022,2022_16_LV_PIT,PIT,down 1-8,64,25
2022,2022_16_LV_PIT,PIT,up 1-8,2,2
2022,2022_16_NO_CLE,CLE,down 1-8,30,11
2022,2022_16_NO_CLE,CLE,tied,21,14
2022,2022_16_NO_CLE,CLE,up 1-8,16,9
2022,2022_16_NO_CLE,NO,down 9+,9,8
2022,2022_16_NO_CLE,NO,down 1-8,12,10
2022,2022_16_NO_CLE,NO,tied,23,14
2022,2022_16_NO_CLE,NO,up 1-8,9,6
2022,2022_16_NYG_MIN,MIN,down 1-8,12,3
2022,2022_16_NYG_MIN,MIN,tied,29,7
2022,2022_16_NYG_MIN,MIN,up 1-8,29,9
2022,2022_16_NYG_MIN,NYG,down 9+,10,5
2022,2022_16_NYG_MIN,NYG,down 1-8,41,13
2022,2022_16_NYG_MIN,NYG,tied,16,3
2022,2022_16_PHI_DAL,DAL,down 9+,22,15
2022,2022_16_PHI_DAL,DAL,down 1-8,39,11
2022,2022_16_PHI_DAL,DAL,tied,5,0
2022,2022_16_PHI_DAL,DAL,up 1-8,4,3
2022,2022_16_PHI_DAL,PHI,down 1-8,19,7
2022,2022_16_PHI_DAL,PHI,tied,33,12
2022,2022_16_PHI_DAL,PHI,up 1-8,16,10
2022,2022_16_SEA_KC,KC,tied,12,5
2022,2022_16_SEA_KC,KC,up 1-8,14,6
2022,2022_16_SEA_KC,KC,up 9+,25,11
2022,2022_16_SEA_KC,SEA,down 9+,59,25
2022,2022_16_SEA_KC,SEA,down 1-8,10,4
2022,2022_16_SEA_KC,SEA,tied,4,2
2022,2022_16_TB_ARI,ARI,down 1-8,35,12
2022,2022_16_TB_ARI,ARI,tied,27,8
2022,2022_16_TB_ARI,ARI,up 1-8,11,7
2022,2022_16_TB_ARI,TB,down 9+,7,0
2022,2022_16_TB_ARI,TB,down 1-8,11,3
2022,2022_16_TB_ARI,TB,tied,42,18
2022,2022_16_TB_ARI,TB,up 1-8,17,8
2022,2022_16_WAS_SF,SF,tied,27,15
2022,2022_16_WAS_SF,SF,up 1-8,10,2
2022,2022_16_WAS_SF,SF,up 9+,14,9
2022,2022_16_WAS_SF,WAS,down 9+,27,5
2022,2022_16_WAS_SF,WAS,down 1-8,20,11
2022,2022_16_WAS_SF,WAS,tied,23,17
2022,2022_17_ARI_ATL,ARI,down 1-8,38,17
2022,2022_17_ARI_ATL,ARI,tied,13,5
2022,2022_17_ARI_ATL,ARI,up 1-8,18,5
2022,2022_17_ARI_ATL,ATL,down 1-8,55,31
2022,2022_17_ARI_ATL,ATL,up 1-8,5,2
2022,2022_17_CAR_TB,CAR,down 9+,6,1
2022,2022_17_CAR_TB,CAR,down 1-8,6,0
2022,2022_17_CAR_TB,CAR,tied,6,2
2022,2022_17_CAR_TB,CAR,up 1-8,38,17
2022,2022_17_CAR_TB,CAR,up 9+,3,2
2022,2022_17_CAR_TB,TB,down 9+,10,0
2022,2022_17_CAR_TB,TB,down 1-8,53,18
2022,2022_17_CAR_TB,TB,up 1-8,12,7
2022,2022_17_CHI_DET,CHI,down 9+,27,10
2022,2022_17_CHI_DET,CHI,down 1-8,8,3
2022,2022_17_CHI_DET,CHI,tied,15,9
2022,2022_17_CHI_DET,DET,down 1-8,15,6
2022,2022_17_CHI_DET,DET,up 1-8,12,5
2022,2022_17_CHI_DET,DET,up 9+,40,25
2022,2022_17_CLE_WAS,CLE,down 1-8,6,3
2022,2022_17_CLE_WAS,CLE,tied,10,2
2022,2022_17_CLE_WAS,CLE,up 1-8,30,18
2022,2022_17_CLE_WAS,CLE,up 9+,4,4
2022,2022_17_CLE_WAS,WAS,down 9+,21,5
2022,2022_17_CLE_WAS,WAS,down 1-8,41,29
2022,2022_17_CLE_WAS,WAS,tied,3,1
2022,2022_17_CLE_WAS,WAS,up 1-8,3,2
2022,2022_17_DAL_TEN,DAL,tied,15,9
2022,2022_17_DAL_TEN,DAL,up 1-8,34,14
2022,2022_17_DAL_TEN,DAL,up 9+,25,9
2022,2022_17_DAL_TEN,TEN,down 9+,53,19
2022,2022_17_DAL_TEN,TEN,down 1-8,7,3
2022,2022_17_DAL_TEN,TEN,tied,5,2
2022,2022_17_DEN_KC,DEN,down 9+,12,3
2022,2022_17_DEN_KC,DEN,down 1-8,48,16
2022,2022_17_DEN_KC,DEN,tied,3,2
2022,2022_17_DEN_KC,DEN,up 1-8,3,3
2022,2022_17_DEN_KC,KC,down 1-8,16,3
2022,2022_17_DEN_KC,KC,tied,10,4
2022,2022_17_DEN_KC,KC,up 1-8,32,9
2022,2022_17_IND_NYG,IND,down 9+,39,17
2022,2022_17_IND_NYG,IND,down 1-8,4,1
2022,2022_17_IND_NYG,IND,tied,13,9
2022,2022_17_IND_NYG,NYG,down 1-8,11,8
2022,2022_17_IND_NYG,NYG,tied,8,2
2022,2022_17_IND_NYG,NYG,up 1-8,9,4
2022,2022_17_IND_NYG,NYG,up 9+,33,23
2022,2022_17_JAX_HOU,HOU,down 9+,50,12
2022,2022_17_JAX_HOU,HOU,down 1-8,10,3
2022,2022_17_JAX_HOU,HOU,tied,7,6
2022,2022_17_JAX_HOU,JAX,tied,8,4
2022,2022_17_JAX_HOU,JAX,up 1-8,11,5
2022,2022_17_JAX_HOU,JAX,up 9+,41,20
2022,2022_17_LA_LAC,LA,down 9+,25,13
2022,2022_17_LA_LAC,LA,down 1-8,5,3
2022,2022_17_LA_LAC,LA,tied,17,9
2022,2022_17_LA_LAC,LAC,down 1-8,5,3
2022,2022_17_LA_LAC,LAC,tied,5,2
2022,2022_17_LA_LAC,LAC,up 1-8,28,12
2022,2022_17_LA_LAC,LAC,up 9+,24,14
2022,2022_17_MIA_NE,MIA,down 9+,13,0
2022,2022_17_MIA_NE,MIA,down 1-8,25,12
2022,2022_17_MIA_NE,MIA,tied,28,14
2022,2022_17_MIA_NE,MIA,up 1-8,3,1
2022,2022_17_MIA_NE,NE,down 1-8,8,2
2022,2022_17_MIA_NE,NE,tied,29,9
2022,2022_17_MIA_NE,NE,up 1-8,14,5
2022,2022_17_MIA_NE,NE,up 9+,4,3
2022,2022_17_MIN_GB,GB,tied,3,1
2022,2022_17_MIN_GB,GB,up 1-8,5,4
2022,2022_17_MIN_GB,GB,up 9+,51,27
2022,2022_17_MIN_GB,MIN,down 9+,44,15
2022,2022_17_MIN_GB,MIN,down 1-8,7,1
2022,2022_17_MIN_GB,MIN,tied,6,4
2022,2022_17_NO_PHI,NO,tied,15,9
2022,2022_17_NO_PHI,NO,up 1-8,25,11
2022,2022_17_NO_PHI,NO,up 9+,24,13
2022,2022_17_NO_PHI,PHI,down 9+,37,9
2022,2022_17_NO_PHI,PHI,down 1-8,16,6
2022,2022_17_NYJ_SEA,NYJ,down 9+,61,15
2022,2022_17_NYJ_SEA,NYJ,down 1-8,6,2
2022,2022_17_NYJ_SEA,SEA,tied,3,2
2022,2022_17_NYJ_SEA,SEA,up 1-8,15,7
2022,2022_17_NYJ_SEA,SEA,up 9+,53,29
2022,2022_17_PIT_BAL,BAL,down 1-8,18,9
2022,2022_17_PIT_BAL,BAL,tied,14,10
2022,2022_17_PIT_BAL,BAL,up 1-8,17,9
2022,2022_17_PIT_BAL,PIT,down 9+,11,6
2022,2022_17_PIT_BAL,PIT,down 1-8,28,15
2022,2022_17_PIT_BAL,PIT,tied,29,18
2022,2022_17_SF_LV,LV,down 1-8,27,11
2022,2022_17_SF_LV,LV,tied,24,15
2022,2022_17_SF_LV,LV,up 1-8,15,6
2022,2022_17_SF_LV,SF,down 9+,8,4
2022,2022_17_SF_LV,SF,down 1-8,32,16
2022,2022_17_SF_LV,SF,tied,17,3
2022,2022_17_SF_LV,SF,up 1-8,3,2
2022,2022_18_ARI_SF,ARI,down 9+,22,8
2022,2022_18_ARI_SF,ARI,down 1-8,25,11
2022,2022_18_ARI_SF,ARI,tied,2,0
2022,2022_18_ARI_SF,SF,down 1-8,6,3
2022,2022_18_ARI_SF,SF,up 1-8,31,14
2022,2022_18_ARI_SF,SF,up 9+,24,20
2022,2022_18_BAL_CIN,BAL,down 9+,68,25
2022,2022_18_BAL_CIN,BAL,down 1-8,1,0
2022,2022_18_BAL_CIN,BAL,tied,4,2
2022,2022_18_BAL_CIN,CIN,tied,16,4
2022,2022_18_BAL_CIN,CIN,up 1-8,8,2
2022,2022_18_BAL_CIN,CIN,up 9+,40,14
2022,2022_18_CAR_NO,CAR,down 1-8,40,28
2022,2022_18_CAR_NO,CAR,tied,18,13
2022,2022_18_CAR_NO,NO,tied,32,16
2022,2022_18_CAR_NO,NO,up 1-8,26,16
2022,2022_18_CLE_PIT,CLE,down 9+,23,8
2022,2022_18_CLE_PIT,CLE,down 1-8,10,5
2022,2022_18_CLE_PIT,CLE,tied,24,9
2022,2022_18_CLE_PIT,PIT,down 1-8,9,5
2022,2022_18_CLE_PIT,PIT,tied,24,13
2022,2022_18_CLE_PIT,PIT,up 1-8,31,17
2022,2022_18_CLE_PIT,PIT,up 9+,4,2
2022,2022_18_DAL_WAS,DAL,down 9+,41,15
2022,2022_18_DAL_WAS,DAL,down 1-8,18,7
2022,2022_18_DAL_WAS,DAL,tied,7,5
2022,2022_18_DAL_WAS,WAS,tied,2,1
2022,2022_18_DAL_WAS,WAS,up 1-8,32,20
2022,2022_18_DAL_WAS,WAS,up 9+,28,19
2022,2022_18_DET_GB,DET,down 1-8,52,20
2022,2022_18_DET_GB,DET,up 1-8,7,4
2022,2022_18_DET_GB,GB,down 1-8,15,4
2022,2022_18_DET_GB,GB,tied,13,8
2022,2022_18_DET_GB,GB,up 1-8,29,16
2022,2022_18_HOU_IND,HOU,down 1-8,18,2
2022,2022_18_HOU_IND,HOU,tied,7,3
2022,2022_18_HOU_IND,HOU,up 1-8,23,11
2022,2022_18_HOU_IND,HOU,up 9+,17,7
2022,2022_18_HOU_IND,IND,down 9+,43,23
2022,2022_18_HOU_IND,IND,down 1-8,18,4
2022,2022_18_HOU_IND,IND,up 1-8,9,6
2022,2022_18_KC_LV,KC,tied,5,1
2022,2022_18_KC_LV,KC,up 1-8,11,6
2022,2022_18_KC_LV,KC,up 9+,38,19
2022,2022_18_KC_LV,LV,down 9+,54,20
2022,2022_18_KC_LV,LV,down 1-8,13,5
2022,2022_18_LAC_DEN,DEN,down 1-8,28,17
2022,2022_18_LAC_DEN,DEN,tied,9,5
2022,2022_18_LAC_DEN,DEN,up 1-8,25,14
2022,2022_18_LAC_DEN,LAC,down 9+,9,5
2022,2022_18_LAC_DEN,LAC,down 1-8,21,5
2022,2022_18_LAC_DEN,LAC,tied,23,8
2022,2022_18_LAC_DEN,LAC,up 1-8,14,3
2022,2022_18_LA_SEA,LA,down 1-8,6,4
2022,2022_18_LA_SEA,LA,tied,34,14
2022,2022_18_LA_SEA,LA,up 1-8,18,9
2022,2022_18_LA_SEA,SEA,down 1-8,40,20
2022,2022_18_LA_SEA,SEA,tied,29,16
2022,2022_18_MIN_CHI,CHI,down 9+,33,12
2022,2022_18_MIN_CHI,CHI,down 1-8,13,6
2022,2022_18_MIN_CHI,CHI,tied,3,2
2022,2022_18_MIN_CHI,MIN,tied,4,1
2022,2022_18_MIN_CHI,MIN,up 1-8,19,11
2022,2022_18_MIN_CHI,MIN,up 9+,48,26
2022,2022_18_NE_BUF,BUF,tied,26,14
2022,2022_18_NE_BUF,BUF,up 1-8,22,4
2022,2022_18_NE_BUF,BUF,up 9+,7,4
2022,2022_18_NE_BUF,NE,down 9+,20,6
2022,2022_18_NE_BUF,NE,down 1-8,30,10
2022,2022_18_NE_BUF,NE,tied,14,6
2022,2022_18_NYG_PHI,NYG,down 9+,58,19
2022,2022_18_NYG_PHI,NYG,down 1-8,3,0
2022,2022_18_NYG_PHI,NYG,tied,3,2
2022,2022_18_NYG_PHI,PHI,tied,6,0
2022,2022_18_NYG_PHI,PHI,up 1-8,12,6
2022,2022_18_NYG_PHI,PHI,up 9+,50,24
2022,2022_18_NYJ_MIA,MIA,tied,64,32
2022,2022_18_NYJ_MIA,NYJ,down 1-8,26,12
2022,2022_18_NYJ_MIA,NYJ,tied,27,8
2022,2022_18_TB_ATL,ATL,down 1-8,37,20
2022,2022_18_TB_ATL,ATL,tied,8,4
2022,2022_18_TB_ATL,ATL,up 1-8,9,4
2022,2022_18_TB_ATL,ATL,up 9+,13,7
2022,2022_18_TB_ATL,TB,down 9+,10,1
2022,2022_18_TB_ATL,TB,down 1-8,16,9
2022,2022_18_TB_ATL,TB,tied,20,7
2022,2022_18_TB_ATL,TB,up 1-8,8,3
2022,2022_18_TEN_JAX,JAX,down 9+,6,1
2022,2022_18_TEN_JAX,JAX,down 1-8,36,10
2022,2022_18_TEN_JAX,JAX,tied,3,1
2022,2022_18_TEN_JAX,TEN,down 1-8,7,3
2022,2022_18_TEN_JAX,TEN,tied,19,11
2022,2022_18_TEN_JAX,TEN,up 1-8,46,25
2023,2023_01_ARI_WAS,ARI,down 1-8,35,16
2023,2023_01_ARI_WAS,ARI,tied,6,3
2023,2023_01_ARI_WAS,ARI,up 1-8,17,6
2023,2023_01_ARI_WAS,WAS,down 1-8,23,9
2023,2023_01_ARI_WAS,WAS,tied,14,5
2023,2023_01_ARI_WAS,WAS,up 1-8,28,14
2023,2023_01_BUF_NYJ,BUF,down 1-8,7,1
2023,2023_01_BUF_NYJ,BUF,tied,30,12
2023,2023_01_BUF_NYJ,BUF,up 1-8,30,9
2023,2023_01_BUF_NYJ,NYJ,down 9+,11,6
2023,2023_01_BUF_NYJ,NYJ,down 1-8,28,12
2023,2023_01_BUF_NYJ,NYJ,tied,12,8
2023,2023_01_CAR_ATL,ATL,down 1-8,6,4
2023,2023_01_CAR_ATL,ATL,tied,26,13
2023,2023_01_CAR_ATL,ATL,up 1-8,12,5
2023,2023_01_CAR_ATL,ATL,up 9+,3,3
2023,2023_01_CAR_ATL,CAR,down 9+,15,3
2023,2023_01_CAR_ATL,CAR,down 1-8,24,10
2023,2023_01_CAR_ATL,CAR,tied,28,16
2023,2023_01_CAR_ATL,CAR,up 1-8,5,3
2023,2023_01_CIN_CLE,CIN,down 9+,20,5
2023,2023_01_CIN_CLE,CIN,down 1-8,20,10
2023,2023_01_CIN_CLE,CIN,tied,12,3
2023,2023_01_CIN_CLE,CLE,tied,19,9
2023,2023_01_CIN_CLE,CLE,up 1-8,33,17
2023,2023_01_CIN_CLE,CLE,up 9+,21,15
2023,2023_01_DAL_NYG,DAL,up 1-8,8,2
2023,2023_01_DAL_NYG,DAL,up 9+,47,28
2023,2023_01_DAL_NYG,NYG,down 9+,52,19
2023,2023_01_DAL_NYG,NYG,down 1-8,3,0
2023,2023_01_DAL_NYG,NYG,tied,10,9
2023,2023_01_DET_KC,DET,down 1-8,21,7
2023,2023_01_DET_KC,DET,tied,37,17
2023,2023_01_DET_KC,DET,up 1-8,8,7
2023,2023_01_DET_KC,KC,down 1-8,20,8
2023,2023_01_DET_KC,KC,tied,27,9
2023,2023_01_DET_KC,KC,up 1-8,15,6
2023,2023_01_GB_CHI,CHI,down 9+,41,14
2023,2023_01_GB_CHI,CHI,down 1-8,25,12
2023,2023_01_GB_CHI,CHI,tied,6,4
2023,2023_01_GB_CHI,GB,tied,11,7
2023,2023_01_GB_CHI,GB,up 1-8,25,11
2023,2023_01_GB_CHI,GB,up 9+,24,14
2023,2023_01_HOU_BAL,BAL,tied,18,10
2023,2023_01_HOU_BAL,BAL,up 1-8,17,8
2023,2023_01_HOU_BAL,BAL,up 9+,24,15
2023,2023_01_HOU_BAL,HOU,down 9+,35,10
2023,2023_01_HOU_BAL,HOU,down 1-8,29,11
2023,2023_01_HOU_BAL,HOU,tied,7,2
2023,2023_01_JAX_IND,IND,down 9+,17,5
2023,2023_01_JAX_IND,IND,down 1-8,32,11
2023,2023_01_JAX_IND,IND,tied,14,7
2023,2023_01_JAX_IND,IND,up 1-8,6,3
2023,2023_01_JAX_IND,JAX,down 1-8,17,11
2023,2023_01_JAX_IND,JAX,tied,33,16
2023,2023_01_JAX_IND,JAX,up 1-8,17,6
2023,2023_01_JAX_IND,JAX,up 9+,1,1
2023,2023_01_LA_SEA,LA,down 1-8,40,17
2023,2023_01_LA_SEA,LA,up 1-8,22,11
2023,2023_01_LA_SEA,LA,up 9+,16,12
2023,2023_01_LA_SEA,SEA,down 9+,7,1
2023,2023_01_LA_SEA,SEA,down 1-8,19,7
2023,2023_01_LA_SEA,SEA,tied,11,5
2023,2023_01_LA_SEA,SEA,up 1-8,9,5
2023,2023_01_LV_DEN,DEN,down 1-8,33,12
2023,2023_01_LV_DEN,DEN,up 1-8,24,10
2023,2023_01_LV_DEN,LV,down 1-8,19,7
2023,2023_01_LV_DEN,LV,tied,10,7
2023,2023_01_LV_DEN,LV,up 1-8,22,11
2023,2023_01_MIA_LAC,LAC,down 1-8,41,20
2023,2023_01_MIA_LAC,LAC,tied,17,12
2023,2023_01_MIA_LAC,LAC,up 1-8,18,8
2023,2023_01_MIA_LAC,MIA,down 1-8,50,14
2023,2023_01_MIA_LAC,MIA,tied,13,4
2023,2023_01_PHI_NE,NE,down 9+,32,7
2023,2023_01_PHI_NE,NE,down 1-8,47,15
2023,2023_01_PHI_NE,PHI,tied,13,8
2023,2023_01_PHI_NE,PHI,up 1-8,31,10
2023,2023_01_PHI_NE,PHI,up 9+,16,6
2023,2023_01_SF_PIT,PIT,down 9+,54,9
2023,2023_01_SF_PIT,PIT,down 1-8,3,1
2023,2023_01_SF_PIT,PIT,tied,3,0
2023,2023_01_SF_PIT,SF,tied,7,4
2023,2023_01_SF_PIT,SF,up 1-8,5,1
2023,2023_01_SF_PIT,SF,up 9+,51,26
2023,2023_01_TB_MIN,MIN,down 1-8,28,9
2023,2023_01_TB_MIN,MIN,tied,24,5
2023,2023_01_TB_MIN,MIN,up 1-8,11,3
2023,2023_01_TB_MIN,TB,down 1-8,13,6
2023,2023_01_TB_MIN,TB,tied,42,16
