play_id,qtr,time,posteam,defteam,down,ydstogo,yardline_100,score_differential,play_type,desc,epa,wpa,wp
1906,2,00:23,SEA,NE,2,3,23,6,pass,"(:23) (Shotgun) 14-S.Darnold pass incomplete short right to 10-C.Kupp. The Replay Official reviewed the incomplete pass ruling, and the play was Upheld. The ruling on the field stands.",-0.2605,-0.00078,0.8088
1948,2,00:20,SEA,NE,3,3,23,6,pass,(:20) (Shotgun) 14-S.Darnold pass incomplete deep middle to 11-J.Smith-Njigba (0-C.Gonzalez).,-0.4127,-0.01599,0.808
2018,2,00:16,SEA,NE,4,3,23,6,field_goal,"(:16) 5-J.Myers 41 yard field goal is GOOD, Center-41-C.Stoll, Holder-4-M.Dickson.",0.5111,-0.04287,0.792
2038,2,00:11,NE,SEA,,0,35,-9,kickoff,5-J.Myers kicks 61 yards from SEA 35 to NE 4. 34-D.Johnson to NE 29 for 25 yards (38-B.Russell; 52-P.O'Connell).,-0.0449,0.00523,0.2508
2103,3,15:00,NE,SEA,,0,35,-9,kickoff,5-J.Myers kicks 55 yards from SEA 35 to NE 10. 34-D.Johnson to NE 32 for 22 yards (38-B.Russell; 19-J.Bobo).,0.5205,0.0045,0.2313
2126,3,14:54,NE,SEA,1,10,68,-9,pass,(14:54) (Shotgun) 10-D.Maye pass incomplete deep left to 3-D.Douglas.,-0.5401,-0.01378,0.2358
2149,3,14:49,NE,SEA,2,10,68,-9,run,(14:49) (Shotgun) 32-T.Henderson left end ran ob at NE 39 for 7 yards (8-C.Bryant).,0.0529,0.01617,0.222
2176,3,14:13,NE,SEA,3,3,61,-9,pass,(14:13) (Shotgun) 10-D.Maye pass incomplete short left to 9-K.Boutte (29-J.Jobe).,-1.7112,-0.03688,0.2382
2199,3,14:08,NE,SEA,4,3,61,-9,punt,"(14:08) 17-B.Baringer punts 52 yards to SEA 9, Center-47-J.Ashby, fair catch by 22-R.Shaheed.",1.1582,0.01006,0.2013
2219,3,14:02,SEA,NE,1,10,91,9,run,(14:02) 9-K.Walker right end to SEA 11 for 2 yards (51-J.Gibbens).,-0.4711,-0.01366,0.7886
2246,3,13:21,SEA,NE,2,8,89,9,pass,(13:21) (Shotgun) 14-S.Darnold pass short middle to 22-R.Shaheed to SEA 27 for 16 yards (7-C.Davis) [53-C.Elliss].,1.7066,0.03001,0.775
2271,3,12:37,SEA,NE,1,10,73,9,pass,(12:37) (Shotgun) 14-S.Darnold pass short middle to 11-J.Smith-Njigba to SEA 43 for 16 yards (21-J.Hawkins).,1.094,0.03544,0.805
2296,3,12:11,SEA,NE,1,10,57,9,run,(12:11) (No Huddle) 14-S.Darnold scrambles right tackle to NE 46 for 11 yards (14-R.Spillane).,0.733,0.01666,0.8404
2318,3,11:30,SEA,NE,1,10,46,9,run,(11:30) 9-K.Walker right tackle to NE 43 for 3 yards (31-C.Woodson; 14-R.Spillane).,-0.4063,0.004,0.8571
2340,3,10:47,SEA,NE,2,7,43,9,pass,(10:47) (Shotgun) 14-S.Darnold pass short right to 9-K.Walker pushed ob at NE 23 for 20 yards (25-M.Jones).,1.981,0.03084,0.8611
2370,3,10:05,SEA,NE,1,10,23,9,run,(10:05) 9-K.Walker right end pushed ob at NE 22 for 1 yard (31-C.Woodson).,-0.5634,-0.00481,0.8919
2397,3,09:23,SEA,NE,2,9,22,9,pass,(9:23) (Shotgun) 14-S.Darnold pass incomplete short right to 10-C.Kupp.,-0.5869,-0.01027,0.8871
2427,3,09:20,SEA,NE,3,9,22,9,pass,(9:20) (Shotgun) 14-S.Darnold pass incomplete short right to 10-C.Kupp.,-0.7984,-0.00906,0.8768
